record_key,destination_key,feature_group,feature_key,feature_value,availability_level,proximity_band,display_label,evidence_summary,source_name,source_url,source_as_of_date,confidence,matching_enabled,display_enabled,notes
lf_ascoli_piceno_it_settlement_type,ascoli-piceno-it,community_form,settlement_type,SMALL_CITY,NOT_APPLICABLE,NOT_APPLICABLE,Community type,"Population 46,628; city_type 'historic provincial capital'.","Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,PRIMARY
lf_ascoli_piceno_it_suburban_character,ascoli-piceno-it,community_form,suburban_character,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Suburban character,No search this pass found or ruled out suburban-form districts; the existing historic-urban-core narrative is insufficient to affirmatively conclude the absence of any suburban character.,Wikipedia,https://en.wikipedia.org/wiki/Ascoli_Piceno,2026-08-27,LOW,NO,YES,
lf_ascoli_piceno_it_resort_orientation,ascoli-piceno-it,community_form,resort_orientation,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Resort orientation,"Economy described as industrial/professional-services/agricultural, not resort/tourism-led.",Wikipedia,https://en.wikipedia.org/wiki/Ascoli_Piceno,2026-08-27,MEDIUM,YES,YES,
lf_ascoli_piceno_it_retirement_orientation,ascoli-piceno-it,community_form,retirement_orientation,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Retirement-community character,Existing workbook long_description explicitly frames the destination as a retirement candidate.,"Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,"Internal reuse of existing narrative, not new external research."
lf_ascoli_piceno_it_college_town_character,ascoli-piceno-it,community_form,college_town_character,NOT_APPLICABLE,LIMITED,NOT_APPLICABLE,College-town character,"Hosts the University of Camerino's School of Architecture and Design and Alma Mater Europaea, but is not a dominant university-town identity.",Wikipedia,https://en.wikipedia.org/wiki/Ascoli_Piceno,2026-08-27,MEDIUM,YES,YES,
lf_ascoli_piceno_it_master_planned_or_gated_character,ascoli-piceno-it,community_form,master_planned_or_gated_character,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Master-planned / gated community presence,No evidence of gated/master-planned developments found in this research pass; absence of evidence is not treated as NONE.,,,,LOW,NO,YES,
lf_ascoli_piceno_it_community_energy,ascoli-piceno-it,community_form,community_energy,BALANCED,NOT_APPLICABLE,NOT_APPLICABLE,Everyday atmosphere,"Existing narrative/neighborhood descriptions describe an everyday, cafe- and piazza-centered pace rather than energetic nightlife or total quiet.","Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,
lf_ascoli_piceno_it_tourism_seasonality,ascoli-piceno-it,community_form,tourism_seasonality,LOW_SEASONALITY,NOT_APPLICABLE,NOT_APPLICABLE,Tourist-season variability,Positioned in existing narrative as a lower-tourist-pressure alternative to Italy's major cities; no acute peak-season crowding documented.,"Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,
lf_ascoli_piceno_it_coastal_setting,ascoli-piceno-it,natural_setting,coastal_setting,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Coastal setting,"Inland city at 154m elevation, surrounded on three sides by mountains; not itself coastal.",Wikipedia,https://en.wikipedia.org/wiki/Ascoli_Piceno,2026-08-27,MEDIUM,YES,YES,
lf_ascoli_piceno_it_beach_access,ascoli-piceno-it,natural_setting,beach_access,NEARBY,NOT_APPLICABLE,WITHIN_30_MIN,Beach access,Mirrors existing DESTINATIONS.beach_access = NEARBY (regional drive to San Benedetto del Tronto/Adriatic).,DESTINATIONS.beach_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
